x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.648,0.0345,0.0365,0.0162315620435,[[-0.64735278]],[[ 0.03446554]],[[ 0.03646354]],[[-0.00647223]],[[ 0.00034459]],[[ 0.00036456]],[[ 0.01607089]],[[ 0.00016068]],[[ 6.53181174]],[[ 0.45312727]],[[-0.01607089]],[[ 78.157501]],[[ 0.64671531]],[[-0.04486418]],[[ 0.36353646]]
-0.648,0.0345,0.0365,0.0162315620435,[[-0.64773513]],[[ 0.0344859]],[[ 0.03648508]],[[-0.00912335]],[[ 0.00048573]],[[ 0.00051389]],[[ 0.01615243]],[[ 0.00024058]],[[ 6.56207937]],[[ 0.45576472]],[[-0.01615243]],[[ 78.14850969]],[[ 0.64709363]],[[-0.04494344]],[[ 0.36351492]]
-0.648,0.0345,0.0365,0.0162315620435,[[-0.64790521]],[[ 0.03449495]],[[ 0.03649466]],[[-0.01045945]],[[ 0.00055687]],[[ 0.00058915]],[[ 0.0161815]],[[ 0.00031553]],[[ 6.57711294]],[[ 0.45700096]],[[-0.0161815]],[[ 78.14404198]],[[ 0.64726223]],[[-0.04497406]],[[ 0.36350534]]
-0.648,0.0345,0.0365,0.0162315620435,[[-0.64800547]],[[ 0.03450029]],[[ 0.03650031]],[[-0.01037112]],[[ 0.00055217]],[[ 0.00058418]],[[ 0.01619774]],[[ 0.00038173]],[[ 6.57722474]],[[ 0.45711605]],[[-0.01619774]],[[ 78.14402329]],[[ 0.64736166]],[[-0.04499153]],[[ 0.36349969]]
-0.648,0.0345,0.0365,0.0162315620435,[[-0.64806091]],[[ 0.03450324]],[[ 0.03650343]],[[-0.0093956]],[[ 0.00050023]],[[ 0.00052923]],[[ 0.01620895]],[[ 0.00043519]],[[ 6.56802802]],[[ 0.45655084]],[[-0.01620895]],[[ 78.14677939]],[[ 0.64741654]],[[-0.04500263]],[[ 0.36349657]]
-0.648,0.0345,0.0365,0.0162315620435,[[-0.64808717]],[[ 0.03450464]],[[ 0.03650491]],[[-0.00813089]],[[ 0.00043289]],[[ 0.00045799]],[[ 0.01621752]],[[ 0.00047299]],[[ 6.55565197]],[[ 0.45574707]],[[-0.01621752]],[[ 78.15048101]],[[ 0.6474424]],[[-0.04501001]],[[ 0.36349509]]
-0.648,0.0345,0.0365,0.0162315620435,[[-0.64809659]],[[ 0.03450514]],[[ 0.03650544]],[[-0.00691825]],[[ 0.00036833]],[[ 0.00038969]],[[ 0.01622435]],[[ 0.00049407]],[[ 6.54362862]],[[ 0.45495611]],[[-0.01622435]],[[ 78.15407463]],[[ 0.64745149]],[[-0.04501509]],[[ 0.36349456]]
-0.6492,0.0342,0.0369,-0.0164060949687,[[-0.64859359]],[[ 0.03438108]],[[ 0.03667094]],[[-0.01339583]],[[-0.00156591]],[[ 0.00283648]],[[ 0.00891707]],[[-0.07682233]],[[ 6.61670491]],[[ 0.38716792]],[[-0.00891707]],[[ 78.01611935]],[[ 0.64826123]],[[-0.04016319]],[[ 0.36332906]]
-0.6492,0.0342,0.0369,-0.0164060949687,[[-0.6489166]],[[ 0.03429923]],[[ 0.03677961]],[[-0.01596875]],[[-0.00246676]],[[ 0.00392946]],[[ 0.00264938]],[[-0.13561555]],[[ 6.64798685]],[[ 0.33593888]],[[-0.00264938]],[[ 77.95275801]],[[ 0.64882345]],[[-0.03601833]],[[ 0.36322039]]
-0.6492,0.0342,0.0369,-0.0164060949687,[[-0.64912421]],[[ 0.03424568]],[[ 0.03685032]],[[-0.01655743]],[[-0.00282154]],[[ 0.00431534]],[[-0.00266734]],[[-0.17733691]],[[ 6.65763094]],[[ 0.29648424]],[[ 0.00266734]],[[ 77.92877099]],[[ 0.64921325]],[[-0.03251412]],[[ 0.36314968]]
-0.6492,0.0342,0.0369,-0.0164060949687,[[-0.64925604]],[[ 0.0342109]],[[ 0.03689593]],[[-0.01618137]],[[-0.00289469]],[[ 0.00434268]],[[-0.00710625]],[[-0.20456746]],[[ 6.65643148]],[[ 0.26586698]],[[ 0.00710625]],[[ 77.92504167]],[[ 0.64948276]],[[-0.0295963]],[[ 0.36310407]]
-0.6492,0.0342,0.0369,-0.0164060949687,[[-0.64933821]],[[ 0.03418855]],[[ 0.03692497]],[[-0.01537154]],[[-0.0028276]],[[ 0.0041964]],[[-0.01075348]],[[-0.22028167]],[[ 6.65008553]],[[ 0.24211336]],[[ 0.01075348]],[[ 77.93134264]],[[ 0.6496683]],[[-0.02720407]],[[ 0.36307503]]
-0.6492,0.0342,0.0369,-0.0164060949687,[[-0.6493878]],[[ 0.03417444]],[[ 0.03694306]],[[-0.01440057]],[[-0.00269547]],[[ 0.00397378]],[[-0.01370786]],[[-0.22732468]],[[ 6.64157497]],[[ 0.22377184]],[[ 0.01370786]],[[ 77.94223668]],[[ 0.64979523]],[[-0.02526979]],[[ 0.36305694]]
