x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk
-0.6895,0.4661,0.0464,0.0164060949687,[[-0.06681797]],[[ 0.04516876]],[[ 0.00589604]],[[-0.06916316]],[[ 0.0467541]],[[ 0.0064603]],[[ 0.00158988]],[[ 0.00164568]]
-0.6895,0.4661,0.0464,0.0164060949687,[[-0.1241198]],[[ 0.08390463]],[[ 0.01068487]],[[-0.13795339]],[[ 0.09325609]],[[ 0.01293569]],[[ 0.00295333]],[[ 0.00328249]]
-0.6895,0.4661,0.0464,0.0164060949687,[[-0.17421387]],[[ 0.11776807]],[[ 0.01470178]],[[-0.2110333]],[[ 0.1426579]],[[ 0.01996989]],[[ 0.00414528]],[[ 0.00502137]]
-0.6892,0.4657,0.0463,-0.0125663706144,[[-0.21883361]],[[ 0.14791454]],[[ 0.01816542]],[[-0.29128599]],[[ 0.19687763]],[[ 0.02781988]],[[ 0.00280619]],[[ 0.00239854]]
-0.6892,0.4657,0.0463,-0.0125663706144,[[-0.25936624]],[[ 0.17529964]],[[ 0.02124837]],[[-0.38036997]],[[ 0.25706373]],[[ 0.03660451]],[[ 0.00159109]],[[-0.00053563]]
-0.6892,0.4657,0.0463,-0.0125663706144,[[-0.29686861]],[[ 0.2006374]],[[ 0.02406451]],[[-0.47882719]],[[ 0.32358231]],[[ 0.04627467]],[[ 0.00046632]],[[-0.00380623]]
-0.6892,0.4657,0.0463,-0.0125663706144,[[-0.33215541]],[[ 0.22447824]],[[ 0.02669313]],[[-0.58626379]],[[ 0.39616721]],[[ 0.05665795]],[[-0.00059438]],[[-0.00740867]]
-0.6892,0.4657,0.0463,-0.0125663706144,[[-0.36583735]],[[ 0.24723475]],[[ 0.02918617]],[[-0.70144299]],[[ 0.47398279]],[[ 0.06747744]],[[-0.00161098]],[[-0.01131089]]
-0.6892,0.4657,0.0463,-0.0125663706144,[[-0.39834619]],[[ 0.26919865]],[[ 0.0315731]],[[-0.82237268]],[[ 0.5556831]],[[ 0.07837482]],[[-0.00259786]],[[-0.01545555]]
-0.6892,0.4657,0.0463,-0.0125663706144,[[-0.42995324]],[[ 0.29055323]],[[ 0.03386494]],[[-0.94641634]],[[ 0.63948684]],[[ 0.08894104]],[[-0.00356437]],[[-0.0197628]]
-0.6899,0.4663,0.0464,0.0300196631343,[[-0.46084622]],[[ 0.31143617]],[[ 0.03606962]],[[-1.07079256]],[[ 0.72357791]],[[ 0.09883946]],[[-0.00087198]],[[-0.00298863]]
-0.6899,0.4663,0.0464,0.0300196631343,[[-0.49096887]],[[ 0.33179864]],[[ 0.03816237]],[[-1.19173467]],[[ 0.80534932]],[[ 0.10758948]],[[ 0.0018476]],[[ 0.01413885]]
-0.6899,0.4663,0.0464,0.0300196631343,[[-0.52022308]],[[ 0.35157431]],[[ 0.04012421]],[[-1.30574863]],[[ 0.88243894]],[[ 0.1148626]],[[ 0.00458753]],[[ 0.0312279]]
-0.6899,0.4663,0.0464,0.0300196631343,[[-0.54843645]],[[ 0.37064665]],[[ 0.04193508]],[[-1.40952695]],[[ 0.95261069]],[[ 0.12042619]],[[ 0.00733063]],[[ 0.04787268]]
-0.6899,0.4663,0.0464,0.0300196631343,[[-0.57539231]],[[ 0.38886917]],[[ 0.0435775]],[[-1.50018302]],[[ 1.0139129]],[[ 0.12415785]],[[ 0.01005197]],[[ 0.06368117]]
-0.6899,0.4663,0.0464,0.0300196631343,[[-0.60086003]],[[ 0.40608595]],[[ 0.04503911]],[[-1.57544108]],[[ 1.06480681]],[[ 0.12604447]],[[ 0.01272198]],[[ 0.07830146]]
-0.6899,0.4663,0.0464,0.0300196631343,[[-0.62462241]],[[ 0.42215013]],[[ 0.04631397]],[[-1.63375868]],[[ 1.10424936]],[[ 0.12616824]],[[ 0.01530956]],[[ 0.09144315]]
-0.6898,0.466,0.0465,0.0317649923863,[[-0.6464862]],[[ 0.43690475]],[[ 0.04741733]],[[-1.67428783]],[[ 1.13147408]],[[ 0.12481071]],[[ 0.01798244]],[[ 0.10433961]]
-0.6898,0.466,0.0465,0.0317649923863,[[-0.66633094]],[[ 0.45029516]],[[ 0.04833992]],[[-1.69710027]],[[ 1.14673952]],[[ 0.12203066]],[[ 0.02051299]],[[ 0.1152768]]
-0.6898,0.466,0.0465,0.0317649923863,[[-0.68408163]],[[ 0.462271]],[[ 0.04909232]],[[-1.70283232]],[[ 1.15047744]],[[ 0.11805574]],[[ 0.02287755]],[[ 0.1241855]]
-0.6898,0.466,0.0465,0.0317649923863,[[-0.69972031]],[[ 0.47282038]],[[ 0.04968825]],[[-1.69264301]],[[ 1.14347212]],[[ 0.11311874]],[[ 0.02505881]],[[ 0.13107352]]
-0.6898,0.466,0.0465,0.0317649923863,[[-0.71328088]],[[ 0.4819664]],[[ 0.05014318]],[[-1.6680665]],[[ 1.12676072]],[[ 0.10744308]],[[ 0.02704599]],[[ 0.13601272]]
-0.6897,0.466,0.0464,0.00314159265359,[[-0.72482785]],[[ 0.48976143]],[[ 0.05045752]],[[-1.63077472]],[[ 1.10153555]],[[ 0.10110179]],[[ 0.02518466]],[[ 0.11261176]]
-0.6897,0.466,0.0464,0.00314159265359,[[-0.73448514]],[[ 0.49628026]],[[ 0.05066436]],[[-1.58273954]],[[ 1.06905786]],[[ 0.09442992]],[[ 0.02331508]],[[ 0.09097429]]
-0.6897,0.466,0.0464,0.00314159265359,[[-0.7423865]],[[ 0.50161326]],[[ 0.050779]],[[-1.52582735]],[[ 1.03058826]],[[ 0.08758104]],[[ 0.02146786]],[[ 0.07117817]]
-0.6897,0.466,0.0464,0.00314159265359,[[-0.74867951]],[[ 0.50586015]],[[ 0.0508156]],[[-1.46182733]],[[ 0.9873351]],[[ 0.08068371]],[[ 0.01966759]],[[ 0.05324544]]
