x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk
-0.3103,0.0743,0.0369,-0.106639617297,[[-0.28209604]],[[ 0.06754668]],[[ 0.03354606]],[[-0.0028204]],[[ 0.00067533]],[[ 0.00033539]],[[-0.09694687]],[[-0.00096927]]
-0.3103,0.0743,0.0369,-0.106639617297,[[-0.29555824]],[[ 0.07077015]],[[ 0.03514695]],[[-0.00442844]],[[ 0.00106037]],[[ 0.00052662]],[[-0.10157337]],[[-0.00152191]]
-0.3103,0.0743,0.0369,-0.106639617297,[[-0.30036883]],[[ 0.07192202]],[[ 0.03571901]],[[-0.00598766]],[[ 0.00143372]],[[ 0.00071204]],[[-0.10322661]],[[-0.00205776]]
-0.3103,0.0743,0.0369,-0.106639617297,[[-0.30286911]],[[ 0.07252071]],[[ 0.03601634]],[[-0.00751733]],[[ 0.00179999]],[[ 0.00089394]],[[-0.10408587]],[[-0.00258345]]
-0.3103,0.0743,0.0369,-0.106639617297,[[-0.30442631]],[[ 0.07289357]],[[ 0.03620152]],[[-0.00901165]],[[ 0.0021578]],[[ 0.00107164]],[[-0.10462103]],[[-0.003097]]
-0.3103,0.0743,0.0369,-0.106639617297,[[-0.30551042]],[[ 0.07315316]],[[ 0.03633044]],[[-0.01045849]],[[ 0.00250424]],[[ 0.00124369]],[[-0.1049936]],[[-0.00359423]]
-0.3116,0.0744,0.037,-0.107163216072,[[-0.30652302]],[[ 0.07336356]],[[ 0.03644257]],[[-0.01222702]],[[ 0.00286527]],[[ 0.00143787]],[[-0.10535325]],[[-0.00422472]]
-0.3116,0.0744,0.037,-0.107163216072,[[-0.30732721]],[[ 0.07353092]],[[ 0.03653169]],[[-0.01390469]],[[ 0.00320651]],[[ 0.00162175]],[[-0.10563879]],[[-0.00482327]]
-0.3116,0.0744,0.037,-0.107163216072,[[-0.30799403]],[[ 0.07366985]],[[ 0.03660563]],[[-0.01547119]],[[ 0.0035237]],[[ 0.00179307]],[[-0.1058755]],[[-0.00538268]]
-0.3118,0.0742,0.0371,-0.110304808726,[[-0.30858925]],[[ 0.0737648]],[[ 0.03668104]],[[-0.0169903]],[[ 0.00372961]],[[ 0.0019913]],[[-0.1064572]],[[-0.0072031]]
-0.3118,0.0742,0.0371,-0.110304808726,[[-0.30911109]],[[ 0.07384814]],[[ 0.03674714]],[[-0.01835696]],[[ 0.00390845]],[[ 0.00217064]],[[-0.10696621]],[[-0.00889997]]
-0.3118,0.0742,0.0371,-0.110304808726,[[-0.30957625]],[[ 0.07392238]],[[ 0.03680606]],[[-0.01955635]],[[ 0.00405818]],[[ 0.00232918]],[[-0.10742045]],[[-0.01045567]]
-0.3118,0.0742,0.0371,-0.110304808726,[[-0.30999531]],[[ 0.07398908]],[[ 0.03685918]],[[-0.02057795]],[[ 0.00417758]],[[ 0.0024655]],[[-0.10783132]],[[-0.01185585]]
-0.3118,0.0742,0.0371,-0.110304808726,[[-0.31037509]],[[ 0.07404927]],[[ 0.03690736]],[[-0.02141607]],[[ 0.00426624]],[[ 0.00257881]],[[-0.10820616]],[[-0.01309026]]
-0.3117,0.0749,0.0372,-0.151669111998,[[-0.31070925]],[[ 0.07417923]],[[ 0.03696198]],[[-0.02201606]],[[ 0.00470273]],[[ 0.00272296]],[[-0.11301853]],[[-0.03649673]]
-0.3117,0.0749,0.0372,-0.151669111998,[[-0.31101236]],[[ 0.07429878]],[[ 0.0370119]],[[-0.02244123]],[[ 0.00507447]],[[ 0.00283926]],[[-0.1175045]],[[-0.05762089]]
-0.3117,0.0749,0.0372,-0.151669111998,[[-0.31128656]],[[ 0.07440869]],[[ 0.03705745]],[[-0.02270025]],[[ 0.00538226]],[[ 0.00292857]],[[-0.12169073]],[[-0.07640179]]
-0.3117,0.0749,0.0372,-0.151669111998,[[-0.31153359]],[[ 0.07450951]],[[ 0.03709891]],[[-0.02280515]],[[ 0.00562842]],[[ 0.00299229]],[[-0.12559355]],[[-0.0928392]]
-0.3117,0.0749,0.0372,-0.151669111998,[[-0.31175502]],[[ 0.0746017]],[[ 0.03713648]],[[-0.02277047]],[[ 0.00581644]],[[ 0.00303233]],[[-0.1292237]],[[-0.10698721]]
-0.3117,0.0749,0.0372,-0.151669111998,[[-0.31195236]],[[ 0.07468566]],[[ 0.03717037]],[[-0.02261231]],[[ 0.00595078]],[[ 0.00305091]],[[-0.13258945]],[[-0.11894529]]
-0.3114,0.0747,0.0372,-0.119904119612,[[-0.31209495]],[[ 0.07474032]],[[ 0.03720078]],[[-0.0221814]],[[ 0.00592578]],[[ 0.00305042]],[[-0.13229009]],[[-0.11126526]]
-0.3114,0.0747,0.0372,-0.119904119612,[[-0.31221858]],[[ 0.07478891]],[[ 0.03722793]],[[-0.02168147]],[[ 0.00587147]],[[ 0.00303336]],[[-0.13195704]],[[-0.10390424]]
-0.3114,0.0747,0.0372,-0.119904119612,[[-0.31232483]],[[ 0.07483187]],[[ 0.03725205]],[[-0.02112733]],[[ 0.00579246]],[[ 0.00300218]],[[-0.13159812]],[[-0.09689735]]
