x,y,z,yaw,m1,m2,m3,m4,roll,pitch,yaw
-0.0513497393199,-0.00580381527763,0.0445,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,45897.0,47047.0,45977.0,47263.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,45859.0,47105.0,46031.0,47193.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,45834.0,47104.0,46044.0,47206.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,45632.0,47298.0,45826.0,47436.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,45623.0,47365.0,45741.0,47467.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,45623.0,47365.0,45741.0,47467.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,46254.0,47050.0,46142.0,46758.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,46215.0,47279.0,46395.0,47255.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,46215.0,47279.0,46395.0,47255.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,46619.0,46739.0,46873.0,46921.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,47580.0,46920.0,46006.0,46650.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,48318.0,47660.0,44812.0,46374.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,47640.0,47486.0,45576.0,46470.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,47619.0,48425.0,45217.0,45951.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,47619.0,48425.0,45217.0,45951.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,48086.0,50492.0,43858.0,44784.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,48086.0,50492.0,43858.0,44784.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,49606.0,50490.0,41828.0,44868.0,0.0,0.0,0.0
