x,y,z,yaw,vzcam,xk,yk,zk,rollk,pitchk,yawk,vxk,vyk,vzk,vrollk,vpitchk,vyawk,pitch_con,roll_con,yaw_con,thrust_cam,xd,yd,zd,rolld,pitchd,yawd
-0.03,-0.0043,0.0407,0.0532325421858,0.005454538834,[[-0.02997003]],[[-0.0042957]],[[ 0.04065935]],[[-0.21507374]],[[-0.02579799]],[[ 0.05270554]],[[-0.00029967]],[[ -4.29523229e-05]],[[ 0.00040655]],[[-0.00214837]],[[-0.0002577]],[[ 0.000527]],[[ 0.75597233]],[[-0.06779035]],[[ 1.509639]],[[ 69.99796726]],[[ 0.03015472]],[[ 0.00271088]],[[ 0.35934065]],-0.215288579464,-0.0258237626404,-158.375411987
-0.03,-0.0043,0.0407,0.0532325421858,0.005454538834,[[-0.02998721]],[[-0.00429817]],[[ 0.04068265]],[[-0.21548455]],[[-0.02616267]],[[ 0.05297173]],[[-0.00042777]],[[ -6.13141812e-05]],[[ 0.00058035]],[[-0.00400644]],[[-0.00198582]],[[ 0.00079063]],[[ 0.75732548]],[[-0.06763608]],[[ 1.51713294]],[[ 69.99709827]],[[ 0.03017273]],[[ 0.00270441]],[[ 0.35931735]],-0.215670004487,-0.0263351500034,-158.376052856
-0.03,-0.0043,0.0407,0.0532325421858,0.005454538834,[[-0.02999507]],[[-0.00429929]],[[ 0.04069331]],[[-0.21476057]],[[-0.02636636]],[[ 0.05306619]],[[-0.00049822]],[[ -7.14114413e-05]],[[ 0.00067592]],[[ 0.00136475]],[[-0.00327817]],[[ 0.00104051]],[[ 0.75802672]],[[-0.06758674]],[[ 1.519714]],[[ 69.99662041]],[[ 0.03018089]],[[ 0.00270226]],[[ 0.35930669]],-0.214345097542,-0.0264663249254,-158.379013062
-0.03,-0.0043,0.0407,0.0532325421858,0.005454538834,[[-0.03000003]],[[-0.0043]],[[ 0.04070004]],[[-0.21565308]],[[-0.02944641]],[[ 0.05311887]],[[-0.00049769]],[[ -7.13354470e-05]],[[ 0.0006752]],[[-0.00540424]],[[-0.0260414]],[[ 0.00126456]],[[ 0.75815189]],[[-0.06755809]],[[ 1.52111121]],[[ 69.99662401]],[[ 0.03018602]],[[ 0.00270112]],[[ 0.35929996]],-0.216148242354,-0.031111586839,-158.377685547
-0.03,-0.0043,0.0407,0.0532325421858,0.005454538834,[[-0.03000298]],[[-0.00430043]],[[ 0.04070404]],[[-0.21554896]],[[-0.03182821]],[[ 0.05315539]],[[-0.00044809]],[[ -6.42258377e-05]],[[ 0.00060791]],[[-0.00425374]],[[-0.04147271]],[[ 0.00144913]],[[ 0.75787921]],[[-0.06753415]],[[ 1.52206521]],[[ 69.99696047]],[[ 0.03018909]],[[ 0.00270028]],[[ 0.35929596]],-0.215462431312,-0.0329887568951,-158.380783081
-0.03,-0.002,0.0404,0.0600393262686,-0.00344828009559,[[-0.03000448]],[[-0.00338299]],[[ 0.04058639]],[[-0.21506163]],[[-0.03209463]],[[ 0.05468139]],[[-0.00038084]],[[ 0.02067371]],[[-0.00218702]],[[-0.000597]],[[-0.04044923]],[[ 0.01612903]],[[ 0.73528786]],[[ 0.47356418]],[[ 1.55844194]],[[ 70.02187019]],[[ 0.03014453]],[[ 0.00173806]],[[ 0.35941361]],-0.214770317078,-0.0320130959153,-158.381881714
-0.03,-0.002,0.0404,0.0600393262686,-0.00344828009559,[[-0.0300051]],[[-0.00272308]],[[ 0.04050114]],[[-0.21591661]],[[-0.0311804]],[[ 0.05595207]],[[-0.00031577]],[[ 0.02990222]],[[-0.00347779]],[[-0.00611905]],[[-0.03187224]],[[ 0.02835958]],[[ 0.71957218]],[[ 0.72136673]],[[ 1.58872902]],[[ 70.03477792]],[[ 0.03011043]],[[ 0.00104084]],[[ 0.35949886]],-0.216386377811,-0.0304507538676,-158.388626099
-0.03,-0.002,0.0404,0.0600393262686,-0.00344828009559,[[-0.03000523]],[[-0.00226843]],[[ 0.040442]],[[-0.21894409]],[[-0.03130865]],[[ 0.05704081]],[[-0.00026035]],[[ 0.03274886]],[[-0.00392324]],[[-0.0243009]],[[-0.03070473]],[[ 0.03777343]],[[ 0.71282841]],[[ 0.80427186]],[[ 1.61521208]],[[ 70.03923244]],[[ 0.03008575]],[[ 0.00055414]],[[ 0.359558]],-0.220595940948,-0.0312025807798,-158.383285522
-0.03,-0.002,0.0404,0.0600393262686,-0.00344828009559,[[-0.03000511]],[[-0.00196144]],[[ 0.04040181]],[[-0.23108948]],[[-0.02887162]],[[ 0.05797306]],[[-0.00021553]],[[ 0.03241071]],[[-0.00393911]],[[-0.09320352]],[[-0.0148193]],[[ 0.04435284]],[[ 0.71102924]],[[ 0.80387078]],[[ 1.63862941]],[[ 70.03939113]],[[ 0.03006835]],[[ 0.00021963]],[[ 0.35959819]],-0.237757414579,-0.0273343306035,-158.36630249
-0.03,-0.002,0.0404,0.0600393262686,-0.00344828009559,[[-0.03000489]],[[-0.00175617]],[[ 0.04037473]],[[-0.20124714]],[[-0.01284233]],[[ 0.05875976]],[[-0.00017991]],[[ 0.03063305]],[[-0.0037549]],[[ 0.0755143]],[[ 0.07387233]],[[ 0.04837167]],[[ 0.71178807]],[[ 0.7648317]],[[ 1.65915739]],[[ 70.037549]],[[ 0.03005623]],[[ -8.92930562e-06]],[[ 0.35962527]],-0.183913096786,-0.00373016577214,-158.349533081
