x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.0849,0.0071,0.031,0.0453785605519,[[-0.0848152]],[[ 0.00709291]],[[ 0.0309969]],[[-0.00084798]],[[  7.09149021e-05]],[[ 0.00030994]],[[ 0.]],[[ 0.]],[[ 0.85663184]],[[ 0.07163823]],[[-0.]],80,[[ 0.0848152]],[[-0.00709291]],[[ 0.3690031]]
-0.0849,0.0071,0.031,0.0453785605519,[[-0.0848653]],[[ 0.0070971]],[[ 0.031]],[[-0.00119533]],[[  9.99625811e-05]],[[ 0.00030994]],[[ 0.]],[[ 0.]],[[ 0.86060624]],[[ 0.0719706]],[[-0.]],80,[[ 0.0848653]],[[-0.0070971]],[[ 0.369]]
-0.0849,0.0071,0.031,0.0453785605519,[[-0.08488758]],[[ 0.00709896]],[[ 0.03100103]],[[-0.00137038]],[[ 0.0001146]],[[ 0.00020696]],[[ 0.]],[[ 0.]],[[ 0.86257961]],[[ 0.07213563]],[[-0.]],80,[[ 0.08488758]],[[-0.00709896]],[[ 0.36899897]]
-0.0846,0.005,0.0313,0.0495673507566,[[-0.08476807]],[[ 0.00617157]],[[ 0.03118913]],[[ 0.00134469]],[[-0.01881088]],[[ 0.00761193]],[[ 0.]],[[ 0.]],[[ 0.83423382]],[[-0.12639308]],[[-0.]],80,[[ 0.08476807]],[[-0.00617157]],[[ 0.36881087]]
-0.0846,0.005,0.0313,0.0495673507566,[[-0.08468627]],[[ 0.00554868]],[[ 0.03128492]],[[ 0.0027263]],[[-0.02759811]],[[ 0.00824312]],[[ 0.]],[[ 0.]],[[ 0.81959972]],[[-0.22049431]],[[-0.]],80,[[ 0.08468627]],[[-0.00554868]],[[ 0.36871508]]
-0.0846,0.005,0.0313,0.0495673507566,[[-0.08463321]],[[ 0.0051535]],[[ 0.03133314]],[[ 0.00320815]],[[-0.02982508]],[[ 0.00733226]],[[ 0.]],[[ 0.]],[[ 0.81425059]],[[-0.24671573]],[[-0.]],80,[[ 0.08463321]],[[-0.0051535]],[[ 0.36866686]]
-0.0846,0.005,0.0313,0.0495673507566,[[-0.08460065]],[[ 0.00491702]],[[ 0.03135771]],[[ 0.0032163]],[[-0.02878327]],[[ 0.00622759]],[[ 0.]],[[ 0.]],[[ 0.81384344]],[[-0.23866252]],[[-0.]],80,[[ 0.08460065]],[[-0.00491702]],[[ 0.36864229]]
-0.0846,0.005,0.0313,0.0495673507566,[[-0.08458152]],[[ 0.00478258]],[[ 0.03137009]],[[ 0.00301893]],[[-0.02646077]],[[ 0.00524504]],[[ 0.]],[[ 0.]],[[ 0.81562595]],[[-0.21678196]],[[-0.]],80,[[ 0.08458152]],[[-0.00478258]],[[ 0.36862991]]
-0.0846,0.005,0.0313,0.0495673507566,[[-0.08457081]],[[ 0.00471085]],[[ 0.03137589]],[[ 0.00275389]],[[-0.02383566]],[[ 0.00443356]],[[ 0.]],[[ 0.]],[[ 0.81816917]],[[-0.19124807]],[[-0.]],80,[[ 0.08457081]],[[-0.00471085]],[[ 0.36862411]]
-0.0846,0.005,0.0313,0.0495673507566,[[-0.08456524]],[[ 0.00467683]],[[ 0.03137801]],[[ 0.00248393]],[[-0.02132553]],[[ 0.00377611]],[[ 0.]],[[ 0.]],[[ 0.82081313]],[[-0.166487]],[[-0.]],80,[[ 0.08456524]],[[-0.00467683]],[[ 0.36862199]]
