x,y,z,yaw,vzcam,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.2561,0.014,0.0342,0.00942477796077,0.0,[[-0.25584421]],[[ 0.01398602]],[[ 0.03419658]],[[-0.00255793]],[[ 0.00013983]],[[ 0.00034193]],[[ 0.00933148]],[[  9.32961588e-05]],[[ 2.58259074]],[[ 0.16536474]],0,[[ 78.26623578]],[[ 0.25570256]],[[-0.01637278]],[[ 0.36580342]]
-0.2561,0.014,0.0342,0.00942477796077,0.0,[[-0.25599532]],[[ 0.01399428]],[[ 0.0342]],[[-0.00360569]],[[ 0.00019711]],[[ 0.00034193]],[[ 0.00937883]],[[ 0.00013969]],[[ 2.59456497]],[[ 0.16625481]],0,[[ 78.26606481]],[[ 0.25585281]],[[-0.01639456]],[[ 0.3658]]
-0.2561,0.014,0.0342,0.00942477796077,0.0,[[-0.25606254]],[[ 0.01399795]],[[ 0.03420114]],[[-0.00413374]],[[ 0.00022598]],[[ 0.00022833]],[[ 0.00939571]],[[ 0.00018321]],[[ 2.6005115]],[[ 0.16667993]],0,[[ 78.27396017]],[[ 0.25591972]],[[-0.01640319]],[[ 0.36579886]]
-0.256,0.0144,0.0341,-0.0111701072128,-0.00140845346631,[[-0.25605795]],[[ 0.01417697]],[[ 0.03413862]],[[-0.00319766]],[[ 0.00382874]],[[-0.00235104]],[[ 0.00366052]],[[-0.02884242]],[[ 2.59187965]],[[ 0.18954598]],0,[[ 78.45764168]],[[ 0.25600434]],[[-0.01511418]],[[ 0.36586138]]
-0.256,0.0144,0.0341,-0.0111701072128,-0.00140845346631,[[-0.25605017]],[[ 0.01429693]],[[ 0.03410656]],[[-0.00239419]],[[ 0.00547938]],[[-0.00262547]],[[-0.0002088]],[[-0.05475332]],[[ 2.58448487]],[[ 0.19722353]],0,[[ 78.47845485]],[[ 0.25605315]],[[-0.01424347]],[[ 0.36589344]]
-0.256,0.0144,0.0341,-0.0111701072128,-0.00140845346631,[[-0.25604172]],[[ 0.01437283]],[[ 0.03409031]],[[-0.00178897]],[[ 0.0058736]],[[-0.00235907]],[[-0.00316556]],[[-0.07630387]],[[ 2.57893491]],[[ 0.19430153]],0,[[ 78.46061923]],[[ 0.25608593]],[[-0.01356224]],[[ 0.36590969]]
-0.256,0.0144,0.0341,-0.0111701072128,-0.00140845346631,[[-0.25603417]],[[ 0.01441809]],[[ 0.03408196]],[[-0.00135996]],[[ 0.00564643]],[[-0.00201371]],[[-0.00556212]],[[-0.09270293]],[[ 2.57501755]],[[ 0.18632568]],0,[[ 78.43686208]],[[ 0.25611041]],[[-0.01299379]],[[ 0.36591804]]
-0.256,0.0144,0.0341,-0.0111701072128,-0.00140845346631,[[-0.25602801]],[[ 0.01444372]],[[ 0.0340777]],[[-0.00106076]],[[ 0.00517946]],[[-0.00170107]],[[-0.00753796]],[[-0.10379256]],[[ 2.57229383]],[[ 0.17684708]],0,[[ 78.41519015]],[[ 0.25612961]],[[-0.0125134]],[[ 0.3659223]]
-0.256,0.0144,0.0341,-0.0111701072128,-0.00140845346631,[[-0.25602317]],[[ 0.01445729]],[[ 0.03407565]],[[-0.00085045]],[[ 0.00465931]],[[-0.00144073]],[[-0.0091569]],[[-0.11000405]],[[ 2.5703789]],[[ 0.16763664]],0,[[ 78.39706881]],[[ 0.25614481]],[[-0.01211234]],[[ 0.36592435]]
-0.2563,0.0132,0.0344,0.00279252680319,0.00535714340453,[[-0.25613561]],[[ 0.01399881]],[[ 0.03418019]],[[-0.0021273]],[[-0.00154525]],[[ 0.00041166]],[[-0.00733687]],[[-0.07924346]],[[ 2.58347329]],[[ 0.10558407]],0,[[ 78.26217425]],[[ 0.25623142]],[[-0.01211922]],[[ 0.36581981]]
-0.2563,0.0132,0.0344,0.00279252680319,0.00535714340453,[[-0.25621067]],[[ 0.01368897]],[[ 0.03425466]],[[-0.00272676]],[[-0.0048264]],[[ 0.00140327]],[[-0.00569624]],[[-0.0543878]],[[ 2.58983704]],[[ 0.07387466]],0,[[ 78.18903818]],[[ 0.25628448]],[[-0.01222932]],[[ 0.36574534]]
-0.2563,0.0132,0.0344,0.00279252680319,0.00535714340453,[[-0.25626062]],[[ 0.01347959]],[[ 0.03430873]],[[-0.00295747]],[[-0.00646462]],[[ 0.0019188]],[[-0.00424592]],[[-0.03482101]],[[ 2.59245543]],[[ 0.05914288]],0,[[ 78.15024785]],[[ 0.25631555]],[[-0.01239141]],[[ 0.36569127]]
-0.2563,0.0132,0.0344,0.00279252680319,0.00535714340453,[[-0.2562937]],[[ 0.01333827]],[[ 0.03434858]],[[-0.00299007]],[[-0.00717954]],[[ 0.00216384]],[[-0.00298488]],[[-0.01974063]],[[ 2.5930099]],[[ 0.05384771]],0,[[ 78.1311025]],[[ 0.25633237]],[[-0.01257321]],[[ 0.36565142]]
-0.2563,0.0132,0.0344,0.00279252680319,0.00535714340453,[[-0.25631536]],[[ 0.01324328]],[[ 0.03437828]],[[-0.00291929]],[[-0.00737895]],[[ 0.00225258]],[[-0.00190245]],[[-0.00832108]],[[ 2.59245339]],[[ 0.0537114]],0,[[ 78.12340517]],[[ 0.25634009]],[[-0.01275563]],[[ 0.36562172]]
-0.2563,0.0132,0.0344,0.00279252680319,0.00535714340453,[[-0.2563293]],[[ 0.01317993]],[[ 0.0344006]],[[-0.00279789]],[[-0.00729582]],[[ 0.00225044]],[[-0.00098209]],[[ 0.00019265]],[[ 2.59132849]],[[ 0.05629627]],0,[[ 78.12243898]],[[ 0.25634212]],[[-0.01292819]],[[ 0.3655994]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25633801]],[[ 0.01313827]],[[ 0.03441744]],[[-0.00265516]],[[-0.00706403]],[[ 0.00219582]],[[ 0.00255744]],[[ 0.02871487]],[[ 2.58976788]],[[ 0.06736584]],0,[[ 78.12542085]],[[ 0.25630357]],[[-0.0137938]],[[ 0.36558256]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634317]],[[ 0.0131115]],[[ 0.03443015]],[[-0.00250716]],[[-0.0067606]],[[ 0.00211165]],[[ 0.00553373]],[[ 0.04932581]],[[ 2.58811223]],[[ 0.07783201]],0,[[ 78.13067674]],[[ 0.25626669]],[[-0.01452983]],[[ 0.36556985]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634593]],[[ 0.01309494]],[[ 0.0344397]],[[-0.00236247]],[[-0.00642958]],[[ 0.00201184]],[[ 0.00802898]],[[ 0.06392215]],[[ 2.58646537]],[[ 0.08742287]],0,[[ 78.13718582]],[[ 0.25623252]],[[-0.01515269]],[[ 0.3655603]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634708]],[[ 0.01308536]],[[ 0.03444681]],[[-0.00222536]],[[-0.00609572]],[[ 0.00190484]],[[ 0.01011697]],[[ 0.07397933]],[[ 2.58488495]],[[ 0.09605209]],0,[[ 78.14432045]],[[ 0.25620158]],[[-0.0156781]],[[ 0.36555319]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634717]],[[ 0.01308053]],[[ 0.03445201]],[[-0.00209773]],[[-0.00577248]],[[ 0.00179579]],[[ 0.01186206]],[[ 0.08063089]],[[ 2.58340035]],[[ 0.10373157]],0,[[ 78.15169391]],[[ 0.25617398]],[[-0.01612035]],[[ 0.36554799]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634657]],[[ 0.01307891]],[[ 0.03445569]],[[-0.00198012]],[[-0.00546668]],[[ 0.0016878]],[[ 0.01331934]],[[ 0.08474083]],[[ 2.58202394]],[[ 0.11052195]],0,[[ 78.15906913]],[[ 0.25614963]],[[-0.01649202]],[[ 0.36554431]]
-0.2564,0.0141,0.0342,0.00645771823238,-0.00357142893635,[[-0.25637693]],[[ 0.01336195]],[[ 0.0344185]],[[-0.00203474]],[[-0.00371968]],[[ 0.00129302]],[[ 0.01279043]],[[ 0.0764393]],[[ 2.58267202]],[[ 0.12946582]],0,[[ 78.18856405]],[[ 0.25618506]],[[-0.01663993]],[[ 0.3655815]]
-0.2564,0.0141,0.0342,0.00645771823238,-0.00357142893635,[[-0.25639812]],[[ 0.01356624]],[[ 0.03438666]],[[-0.00203891]],[[-0.00253108]],[[ 0.00097652]],[[ 0.01231581]],[[ 0.06929123]],[[ 2.58281536]],[[ 0.14217102]],0,[[ 78.21231021]],[[ 0.2562116]],[[-0.01672288]],[[ 0.36561334]]
