x,y,z,yaw,vzcam,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.2944,-0.0984,0.0363,-0.141720735262,0.0075471736138,[[-0.29410595]],[[-0.09830172]],[[ 0.03629637]],[[-0.00294047]],[[-0.00098282]],[[ 0.00036293]],[[-0.14031784]],[[-0.0014029]],[[ 2.80241211]],[[-1.39853]],0,[[ 78.15977657]],[[ 0.27746709]],[[ 0.13846859]],[[ 0.36370363]]
-0.2944,-0.0984,0.0363,-0.141720735262,0.0075471736138,[[-0.29427966]],[[-0.09835978]],[[ 0.0363]],[[-0.00414493]],[[-0.0013854]],[[ 0.00036293]],[[-0.14102986]],[[-0.00210055]],[[ 2.81441297]],[[-1.40702285]],0,[[ 78.15959511]],[[ 0.27753226]],[[ 0.13874802]],[[ 0.3637]]
-0.2944,-0.0984,0.0363,-0.141720735262,0.0075471736138,[[-0.29435693]],[[-0.09838561]],[[ 0.03630121]],[[-0.00475195]],[[-0.00158829]],[[ 0.00024235]],[[-0.14128364]],[[-0.00275496]],[[ 2.82050844]],[[-1.41096499]],0,[[ 78.16797527]],[[ 0.2775699]],[[ 0.1388549]],[[ 0.36369879]]
-0.2944,-0.0984,0.0363,-0.141720735262,0.0075471736138,[[-0.29440248]],[[-0.09840083]],[[ 0.03630136]],[[-0.00471182]],[[-0.00157487]],[[ 0.00015183]],[[-0.14142543]],[[-0.00333292]],[[ 2.82035947]],[[-1.41139047]],0,[[ 78.17430386]],[[ 0.27759316]],[[ 0.13891575]],[[ 0.36369864]]
-0.2944,-0.0984,0.0363,-0.141720735262,0.0075471736138,[[-0.29442767]],[[-0.09840925]],[[ 0.03630125]],[[-0.00426862]],[[-0.00142674]],[[  9.96402595e-05]],[[-0.14152327]],[[-0.0037997]],[[ 2.81628014]],[[-1.40969362]],0,[[ 78.17796284]],[[ 0.27760332]],[[ 0.13895479]],[[ 0.36369875]]
-0.2944,-0.0984,0.0363,-0.141720735262,0.0075471736138,[[-0.29443961]],[[-0.09841324]],[[ 0.0363011]],[[-0.00369403]],[[-0.00123469]],[[  6.93023483e-05]],[[-0.14159816]],[[-0.00412972]],[[ 2.81086976]],[[-1.4072487]],0,[[ 78.18009365]],[[ 0.27760416]],[[ 0.13898121]],[[ 0.3636989]]
-0.2945,-0.0972,0.0362,-0.1308996939,-0.00166666825613,[[-0.29448655]],[[-0.09790262]],[[ 0.03625518]],[[-0.00386284]],[[ 0.00758627]],[[-0.000987]],[[-0.13921679]],[[ 0.02019144]],[[ 2.82929884]],[[-1.30843748]],0,[[ 78.25633057]],[[ 0.27805169]],[[ 0.13782058]],[[ 0.36374482]]
-0.2945,-0.0972,0.0362,-0.1308996939,-0.00166666825613,[[-0.29451477]],[[-0.09756749]],[[ 0.03622647]],[[-0.00370512]],[[ 0.01151177]],[[-0.00135807]],[[-0.13719661]],[[ 0.03941711]],[[ 2.83648054]],[[-1.26033603]],0,[[ 78.283741]],[[ 0.27840332]],[[ 0.13693046]],[[ 0.36377353]]
-0.2945,-0.0972,0.0362,-0.1308996939,-0.00166666825613,[[-0.29453108]],[[-0.09735139]],[[ 0.03620798]],[[-0.00342293]],[[ 0.01288618]],[[-0.00144343]],[[-0.13548042]],[[ 0.05355036]],[[ 2.83815322]],[[-1.23934775]],0,[[ 78.29064062]],[[ 0.27868327]],[[ 0.13624055]],[[ 0.36379202]]
-0.2945,-0.0972,0.0362,-0.1308996939,-0.00166666825613,[[-0.29454001]],[[-0.0972138]],[[ 0.03619581]],[[-0.00311215]],[[ 0.01299336]],[[-0.00140815]],[[-0.13403972]],[[ 0.06308589]],[[ 2.83727144]],[[-1.23242838]],0,[[ 78.28877986]],[[ 0.2789065]],[[ 0.13570375]],[[ 0.36380419]]
